grid_id,count,Longitude_round,Latitude_round
2,2,-118.483,33.997
3,7,-118.48,33.997
5,1,-118.484,33.998
6,2,-118.483,33.998
7,3,-118.482,33.998
8,3,-118.481,33.998
9,12,-118.48,33.998
10,10,-118.479,33.998
12,19,-118.482,33.999
13,33,-118.481,33.999
14,3,-118.48,33.999
15,10,-118.479,33.999
16,6,-118.478,33.999
17,9,-118.477,33.999
19,7,-118.487,34.0
20,2,-118.486,34.0
21,1,-118.485,34.0
22,18,-118.483,34.0
23,29,-118.481,34.0
24,2,-118.48,34.0
25,2,-118.479,34.0
26,8,-118.478,34.0
27,1,-118.477,34.0
28,3,-118.476,34.0
29,3,-118.475,34.0
30,16,-118.486,34.001
31,9,-118.485,34.001
32,24,-118.483,34.001
33,18,-118.482,34.001
34,2,-118.481,34.001
35,2,-118.48,34.001
36,2,-118.479,34.001
37,4,-118.477,34.001
39,3,-118.475,34.001
41,6,-118.473,34.001
42,1,-118.49,34.002
43,5,-118.488,34.002
44,1,-118.487,34.002
45,12,-118.486,34.002
46,1,-118.485,34.002
47,7,-118.484,34.002
48,12,-118.483,34.002
50,10,-118.481,34.002
51,11,-118.479,34.002
52,1,-118.478,34.002
53,1,-118.477,34.002
54,5,-118.476,34.002
55,1,-118.475,34.002
56,10,-118.474,34.002
57,3,-118.473,34.002
58,4,-118.471,34.002
59,4,-118.489,34.003
60,7,-118.488,34.003
61,5,-118.487,34.003
63,18,-118.484,34.003
64,4,-118.483,34.003
65,3,-118.482,34.003
66,3,-118.48,34.003
67,7,-118.479,34.003
69,9,-118.477,34.003
71,1,-118.474,34.003
72,3,-118.473,34.003
73,8,-118.472,34.003
74,17,-118.471,34.003
75,1,-118.47,34.003
76,1,-118.469,34.003
77,1,-118.49,34.004
78,12,-118.488,34.004
79,10,-118.487,34.004
80,9,-118.486,34.004
81,18,-118.485,34.004
82,2,-118.484,34.004
83,9,-118.483,34.004
84,2,-118.482,34.004
85,4,-118.481,34.004
87,5,-118.478,34.004
88,4,-118.477,34.004
89,1,-118.476,34.004
90,1,-118.475,34.004
91,1,-118.474,34.004
92,3,-118.473,34.004
93,2,-118.472,34.004
94,4,-118.471,34.004
95,2,-118.47,34.004
96,3,-118.469,34.004
97,1,-118.468,34.004
98,5,-118.491,34.005
99,1,-118.49,34.005
100,10,-118.489,34.005
101,7,-118.488,34.005
102,10,-118.487,34.005
103,3,-118.486,34.005
104,4,-118.485,34.005
106,7,-118.483,34.005
108,3,-118.48,34.005
109,6,-118.479,34.005
110,5,-118.476,34.005
111,4,-118.475,34.005
112,9,-118.474,34.005
113,8,-118.473,34.005
115,1,-118.471,34.005
116,3,-118.47,34.005
117,2,-118.468,34.005
118,6,-118.467,34.005
119,6,-118.491,34.006
120,54,-118.49,34.006
121,1,-118.489,34.006
122,1,-118.488,34.006
123,10,-118.487,34.006
124,6,-118.485,34.006
125,1,-118.484,34.006
126,8,-118.483,34.006
127,4,-118.482,34.006
128,6,-118.48,34.006
129,1,-118.479,34.006
130,6,-118.478,34.006
131,1,-118.477,34.006
132,1,-118.476,34.006
133,18,-118.475,34.006
134,1,-118.474,34.006
135,6,-118.472,34.006
136,2,-118.471,34.006
137,4,-118.47,34.006
138,1,-118.469,34.006
139,1,-118.467,34.006
140,4,-118.466,34.006
142,3,-118.463,34.006
143,10,-118.492,34.007
144,5,-118.491,34.007
145,9,-118.49,34.007
146,23,-118.489,34.007
147,3,-118.487,34.007
148,6,-118.486,34.007
149,12,-118.485,34.007
150,10,-118.484,34.007
151,8,-118.483,34.007
152,2,-118.482,34.007
153,3,-118.481,34.007
154,2,-118.479,34.007
155,1,-118.477,34.007
156,26,-118.476,34.007
157,4,-118.473,34.007
158,1,-118.472,34.007
159,1,-118.471,34.007
160,2,-118.47,34.007
161,1,-118.468,34.007
162,2,-118.465,34.007
163,1,-118.464,34.007
164,3,-118.461,34.007
165,1,-118.499,34.008
167,32,-118.493,34.008
168,47,-118.492,34.008
169,8,-118.491,34.008
170,17,-118.49,34.008
171,7,-118.489,34.008
172,7,-118.488,34.008
173,9,-118.487,34.008
174,9,-118.486,34.008
175,1,-118.485,34.008
176,2,-118.484,34.008
177,2,-118.483,34.008
178,3,-118.482,34.008
179,1,-118.481,34.008
180,5,-118.479,34.008
181,6,-118.478,34.008
182,6,-118.477,34.008
183,2,-118.476,34.008
184,4,-118.475,34.008
185,2,-118.474,34.008
186,3,-118.473,34.008
187,2,-118.472,34.008
188,2,-118.471,34.008
189,2,-118.47,34.008
191,1,-118.468,34.008
192,2,-118.467,34.008
193,1,-118.466,34.008
195,1,-118.461,34.008
196,1,-118.46,34.008
198,14,-118.498,34.009
199,36,-118.497,34.009
200,14,-118.494,34.009
201,2,-118.492,34.009
202,5,-118.49,34.009
203,23,-118.488,34.009
204,5,-118.487,34.009
205,2,-118.486,34.009
206,3,-118.485,34.009
207,2,-118.484,34.009
208,2,-118.483,34.009
209,8,-118.482,34.009
210,4,-118.48,34.009
211,6,-118.479,34.009
212,2,-118.478,34.009
213,1,-118.477,34.009
215,2,-118.475,34.009
216,4,-118.473,34.009
217,2,-118.472,34.009
219,1,-118.47,34.009
220,1,-118.469,34.009
222,1,-118.467,34.009
223,2,-118.466,34.009
224,3,-118.464,34.009
225,4,-118.462,34.009
226,1,-118.461,34.009
228,1,-118.458,34.009
230,122,-118.496,34.01
231,42,-118.495,34.01
232,7,-118.494,34.01
233,30,-118.493,34.01
234,7,-118.488,34.01
235,12,-118.487,34.01
236,1,-118.486,34.01
237,15,-118.484,34.01
238,2,-118.482,34.01
239,13,-118.481,34.01
240,18,-118.48,34.01
241,3,-118.478,34.01
242,5,-118.477,34.01
244,1,-118.473,34.01
246,1,-118.471,34.01
248,2,-118.469,34.01
250,1,-118.467,34.01
252,1,-118.463,34.01
254,2,-118.461,34.01
255,1,-118.46,34.01
256,1,-118.459,34.01
259,2,-118.456,34.01
260,4,-118.497,34.011
261,1,-118.496,34.011
262,53,-118.495,34.011
263,54,-118.494,34.011
264,6,-118.491,34.011
265,10,-118.489,34.011
266,34,-118.485,34.011
267,2,-118.484,34.011
269,2,-118.482,34.011
270,14,-118.481,34.011
271,6,-118.48,34.011
272,8,-118.479,34.011
274,1,-118.475,34.011
277,2,-118.471,34.011
280,1,-118.468,34.011
281,1,-118.467,34.011
282,4,-118.465,34.011
284,1,-118.461,34.011
285,1,-118.46,34.011
286,1,-118.459,34.011
287,72,-118.497,34.012
288,88,-118.496,34.012
289,12,-118.494,34.012
290,97,-118.493,34.012
291,1,-118.492,34.012
293,8,-118.49,34.012
294,1,-118.485,34.012
295,20,-118.484,34.012
296,42,-118.483,34.012
297,24,-118.482,34.012
298,9,-118.481,34.012
299,1,-118.48,34.012
303,3,-118.476,34.012
305,1,-118.473,34.012
306,2,-118.472,34.012
307,2,-118.47,34.012
308,4,-118.469,34.012
309,2,-118.468,34.012
312,2,-118.463,34.012
315,3,-118.46,34.012
316,1,-118.458,34.012
317,51,-118.497,34.013
318,58,-118.496,34.013
319,48,-118.495,34.013
320,63,-118.493,34.013
321,6,-118.492,34.013
322,1,-118.491,34.013
323,48,-118.489,34.013
324,1,-118.485,34.013
325,76,-118.484,34.013
326,37,-118.482,34.013
327,4,-118.481,34.013
328,1,-118.48,34.013
329,2,-118.479,34.013
330,1,-118.478,34.013
331,1,-118.477,34.013
332,1,-118.476,34.013
335,3,-118.472,34.013
336,8,-118.466,34.013
337,3,-118.465,34.013
338,3,-118.464,34.013
339,3,-118.463,34.013
341,1,-118.461,34.013
342,4,-118.46,34.013
345,5,-118.499,34.014
346,24,-118.498,34.014
347,75,-118.496,34.014
348,23,-118.495,34.014
349,28,-118.493,34.014
350,16,-118.492,34.014
351,7,-118.491,34.014
352,12,-118.49,34.014
353,12,-118.487,34.014
354,3,-118.486,34.014
355,9,-118.485,34.014
356,2,-118.484,34.014
357,1,-118.483,34.014
358,6,-118.482,34.014
359,19,-118.48,34.014
360,5,-118.478,34.014
361,5,-118.477,34.014
363,4,-118.475,34.014
365,2,-118.473,34.014
366,2,-118.472,34.014
367,6,-118.471,34.014
368,2,-118.467,34.014
369,1,-118.466,34.014
370,9,-118.465,34.014
371,1,-118.464,34.014
372,4,-118.462,34.014
373,3,-118.461,34.014
374,4,-118.46,34.014
375,1,-118.457,34.014
376,2,-118.45,34.014
377,2,-118.501,34.015
378,5,-118.5,34.015
379,20,-118.499,34.015
380,48,-118.497,34.015
381,27,-118.496,34.015
382,125,-118.495,34.015
383,16,-118.494,34.015
384,22,-118.493,34.015
385,18,-118.492,34.015
386,24,-118.491,34.015
387,30,-118.49,34.015
388,55,-118.486,34.015
389,3,-118.484,34.015
390,1,-118.483,34.015
391,5,-118.48,34.015
392,10,-118.479,34.015
393,10,-118.478,34.015
395,6,-118.475,34.015
396,4,-118.474,34.015
397,1,-118.473,34.015
398,2,-118.47,34.015
399,3,-118.467,34.015
400,11,-118.466,34.015
402,4,-118.463,34.015
403,3,-118.462,34.015
404,7,-118.461,34.015
405,1,-118.46,34.015
407,3,-118.448,34.015
408,1,-118.5,34.016
409,7,-118.499,34.016
410,42,-118.498,34.016
411,144,-118.497,34.016
412,31,-118.496,34.016
413,7,-118.495,34.016
414,49,-118.494,34.016
415,5,-118.493,34.016
416,12,-118.492,34.016
417,1,-118.491,34.016
418,4,-118.49,34.016
419,15,-118.489,34.016
420,3,-118.488,34.016
421,5,-118.486,34.016
422,6,-118.485,34.016
423,2,-118.483,34.016
424,9,-118.482,34.016
425,12,-118.481,34.016
426,12,-118.48,34.016
427,14,-118.478,34.016
429,6,-118.476,34.016
430,1,-118.475,34.016
432,1,-118.469,34.016
434,3,-118.467,34.016
435,4,-118.465,34.016
436,6,-118.464,34.016
438,14,-118.461,34.016
439,8,-118.46,34.016
440,4,-118.459,34.016
441,1,-118.457,34.016
442,1,-118.504,34.017
443,4,-118.503,34.017
444,7,-118.502,34.017
445,72,-118.501,34.017
446,30,-118.499,34.017
447,24,-118.498,34.017
448,10,-118.497,34.017
449,34,-118.496,34.017
450,17,-118.495,34.017
451,4,-118.494,34.017
452,19,-118.493,34.017
453,26,-118.492,34.017
454,18,-118.491,34.017
455,17,-118.49,34.017
456,21,-118.489,34.017
457,5,-118.488,34.017
458,1,-118.485,34.017
459,5,-118.484,34.017
460,3,-118.483,34.017
461,1,-118.482,34.017
462,2,-118.481,34.017
463,1,-118.48,34.017
464,7,-118.479,34.017
465,3,-118.478,34.017
466,1,-118.475,34.017
467,1,-118.474,34.017
468,6,-118.467,34.017
469,1,-118.466,34.017
472,1,-118.462,34.017
473,1,-118.46,34.017
474,5,-118.459,34.017
475,1,-118.458,34.017
476,4,-118.454,34.017
477,3,-118.453,34.017
478,2,-118.447,34.017
479,5,-118.445,34.017
480,6,-118.504,34.018
481,3,-118.503,34.018
482,11,-118.501,34.018
483,10,-118.5,34.018
484,6,-118.499,34.018
485,113,-118.498,34.018
486,3,-118.497,34.018
487,2,-118.496,34.018
488,8,-118.495,34.018
489,17,-118.494,34.018
490,52,-118.493,34.018
491,23,-118.492,34.018
492,47,-118.49,34.018
493,4,-118.488,34.018
494,2,-118.487,34.018
495,3,-118.486,34.018
496,9,-118.484,34.018
498,3,-118.482,34.018
499,3,-118.48,34.018
500,6,-118.479,34.018
502,3,-118.473,34.018
503,5,-118.472,34.018
504,11,-118.468,34.018
505,2,-118.467,34.018
506,7,-118.465,34.018
507,1,-118.464,34.018
508,1,-118.462,34.018
510,1,-118.46,34.018
511,4,-118.459,34.018
512,5,-118.458,34.018
514,1,-118.505,34.019
515,10,-118.504,34.019
516,6,-118.502,34.019
517,4,-118.501,34.019
518,6,-118.5,34.019
519,16,-118.499,34.019
520,14,-118.498,34.019
521,14,-118.497,34.019
522,2,-118.496,34.019
523,5,-118.495,34.019
524,16,-118.494,34.019
525,9,-118.493,34.019
526,24,-118.492,34.019
527,39,-118.491,34.019
528,18,-118.489,34.019
529,2,-118.488,34.019
530,7,-118.487,34.019
531,2,-118.486,34.019
532,3,-118.485,34.019
533,5,-118.483,34.019
535,1,-118.481,34.019
536,8,-118.48,34.019
537,2,-118.479,34.019
538,4,-118.478,34.019
539,26,-118.476,34.019
541,17,-118.474,34.019
542,1,-118.472,34.019
543,12,-118.471,34.019
544,15,-118.47,34.019
545,21,-118.469,34.019
546,2,-118.464,34.019
547,1,-118.463,34.019
549,1,-118.461,34.019
550,2,-118.459,34.019
552,6,-118.456,34.019
553,3,-118.455,34.019
554,25,-118.451,34.019
555,3,-118.507,34.02
556,1,-118.506,34.02
557,6,-118.505,34.02
558,2,-118.504,34.02
559,11,-118.503,34.02
560,13,-118.502,34.02
561,3,-118.501,34.02
562,9,-118.5,34.02
563,9,-118.499,34.02
564,18,-118.497,34.02
565,15,-118.496,34.02
566,3,-118.494,34.02
567,11,-118.493,34.02
568,6,-118.492,34.02
569,20,-118.491,34.02
570,20,-118.49,34.02
571,10,-118.488,34.02
572,15,-118.487,34.02
574,1,-118.484,34.02
575,8,-118.482,34.02
576,3,-118.481,34.02
577,6,-118.48,34.02
579,4,-118.478,34.02
580,9,-118.477,34.02
581,3,-118.476,34.02
582,12,-118.475,34.02
583,16,-118.474,34.02
584,11,-118.473,34.02
585,12,-118.472,34.02
587,4,-118.469,34.02
588,2,-118.468,34.02
589,2,-118.467,34.02
590,11,-118.465,34.02
592,1,-118.462,34.02
593,2,-118.461,34.02
595,2,-118.458,34.02
596,9,-118.456,34.02
597,6,-118.454,34.02
598,5,-118.507,34.021
599,1,-118.506,34.021
600,1,-118.505,34.021
601,6,-118.504,34.021
602,2,-118.503,34.021
603,1,-118.502,34.021
604,14,-118.501,34.021
605,5,-118.499,34.021
606,6,-118.498,34.021
607,6,-118.497,34.021
608,50,-118.496,34.021
609,13,-118.495,34.021
610,6,-118.494,34.021
611,1,-118.493,34.021
612,1,-118.492,34.021
613,5,-118.49,34.021
614,1,-118.489,34.021
617,2,-118.486,34.021
618,9,-118.485,34.021
619,28,-118.484,34.021
620,7,-118.483,34.021
621,2,-118.482,34.021
622,3,-118.479,34.021
624,1,-118.477,34.021
625,16,-118.476,34.021
626,34,-118.475,34.021
627,2,-118.474,34.021
628,1,-118.473,34.021
629,15,-118.471,34.021
630,4,-118.47,34.021
631,7,-118.469,34.021
632,10,-118.468,34.021
633,9,-118.467,34.021
634,5,-118.466,34.021
635,2,-118.464,34.021
636,1,-118.461,34.021
637,2,-118.46,34.021
639,2,-118.458,34.021
640,1,-118.457,34.021
642,3,-118.454,34.021
644,6,-118.452,34.021
645,4,-118.509,34.022
646,1,-118.507,34.022
647,16,-118.506,34.022
648,1,-118.505,34.022
649,8,-118.504,34.022
650,13,-118.503,34.022
651,10,-118.501,34.022
652,22,-118.5,34.022
653,6,-118.498,34.022
654,15,-118.496,34.022
655,18,-118.495,34.022
656,1,-118.494,34.022
657,13,-118.492,34.022
659,5,-118.49,34.022
660,8,-118.489,34.022
661,3,-118.488,34.022
662,3,-118.487,34.022
663,1,-118.486,34.022
665,1,-118.483,34.022
666,1,-118.482,34.022
667,2,-118.48,34.022
668,13,-118.478,34.022
669,1,-118.477,34.022
670,7,-118.475,34.022
671,15,-118.474,34.022
672,5,-118.473,34.022
673,14,-118.472,34.022
674,26,-118.469,34.022
675,14,-118.466,34.022
676,21,-118.465,34.022
677,2,-118.463,34.022
678,2,-118.462,34.022
680,4,-118.457,34.022
681,1,-118.453,34.022
682,2,-118.451,34.022
683,2,-118.45,34.022
684,1,-118.511,34.023
685,7,-118.509,34.023
686,4,-118.508,34.023
687,8,-118.507,34.023
688,1,-118.506,34.023
689,2,-118.504,34.023
